"cell","spue","effort","target"
"856d6257fffffff",0,3,0
"856d6a37fffffff",0,2,0
"856d6aabfffffff",0,2,0
"856d7063fffffff",0,3,0
"856d70d7fffffff",0,5,0
"856d7183fffffff",0,1,0
"856d71b3fffffff",0,1,0
"856d73affffffff",0,1,0
"856d7547fffffff",0,2,0
"856d7663fffffff",0,1,0
"85448583fffffff",0,1,0
"85448a43fffffff",0,2,0
"85448db3fffffff",0,4,0
"8544a163fffffff",0,1,0
"8544a193fffffff",0,12,0
"8544a853fffffff",0,8,0
"8544a86ffffffff",0,11,0
"85440343fffffff",0,2,0
"8544065bfffffff",0,1,0
"8544066bfffffff",0,4,0
"855f5957fffffff",0,1,0
"855f5e63fffffff",0,1,0
"8566122bfffffff",0.166666666666667,6,1
"856612c3fffffff",0,2,0
"8544ab17fffffff",0,5,0
"8544ab2ffffffff",0,5,0
"8544aba7fffffff",0,6,0
"8544ababfffffff",0,2,0
"8544e40ffffffff",0,13,0
"8544e413fffffff",0,2,0
